32775	6	15650	1
32775	5	3405	0
32775	4	12702	0
32775	3	15272	0
32775	2	16295	0
32775	1	17056	1
32775	0	2948	1
32773	9	15272	0
32773	8	17056	0
32773	7	9820	0
32773	6	10872	1
32773	5	15650	0
32773	4	18031	1
32773	3	16295	0
32773	2	2948	0
32773	1	18087	1
32773	0	5088	1
32771	4	16405	0
32771	3	10872	0
32771	2	17499	0
32771	1	15650	1
32771	0	17056	1
32770	4	17499	1
32770	3	16405	0
32770	2	18031	0
32770	1	17056	1
32770	0	10872	0
32769	5	17056	0
32769	4	17499	0
32769	3	2948	0
32769	2	9820	1
32769	1	10037	1
32769	0	17883	0
32768	6	17706	1
32768	5	17876	0
32768	4	17794	0
32768	3	18061	0
32768	2	17707	1
32768	1	17703	1
32768	0	17499	0
32767	5	17876	0
32767	4	17794	0
32767	3	17707	0
32767	2	18061	0
32767	1	17703	1
32767	0	17706	1
32766	6	17703	1
32766	5	17707	1
32766	4	17872	0
32766	3	18061	0
32766	2	17682	0
32766	1	17706	0
32766	0	17794	1
32765	6	18061	0
32765	5	17703	0
32765	4	17682	1
32765	3	17707	1
32765	2	17872	0
32765	1	17706	0
32765	0	17794	1
32763	5	17872	0
32763	4	17706	0
32763	3	17707	1
32763	2	17682	0
32763	1	13759	0
32763	0	14128	1
32762	5	13759	0
32762	4	17872	0
32762	3	12295	0
32762	2	12784	1
32762	1	17682	1
32762	0	14128	0
32761	4	17908	0
32761	3	18098	0
32761	2	17987	0
32761	1	17911	1
32761	0	18109	1
32760	5	14128	1
32760	4	12784	0
32760	3	15272	0
32760	2	12295	1
32760	1	17682	0
32760	0	17872	0
32759	4	14128	0
32759	3	17682	0
32759	2	17872	0
32759	1	12784	1
32759	0	12295	1
32757	5	17872	0
32757	4	15628	1
32757	3	14128	0
32757	2	17682	1
32757	1	12295	0
32757	0	12784	0
32756	4	9341	1
32756	3	15272	0
32756	2	4475	0
32756	1	2948	0
32756	0	5088	1
32754	8	17761	0
32754	7	17911	0
32754	6	17764	1
32754	5	18098	0
32754	4	17908	0
32754	3	17951	0
32754	2	17987	1
32754	1	17830	0
32754	0	18109	1
32753	9	12784	1
32753	8	5088	0
32753	7	12295	1
32753	6	2948	0
32753	5	18099	0
32753	4	9341	1
32753	3	4475	0
32753	2	15272	1
32753	1	17883	0
32753	0	15628	0
32752	7	17833	1
32752	6	17951	0
32752	5	17908	0
32752	4	17764	0
32752	3	17830	0
32752	2	17761	1
32752	1	18098	0
32752	0	17911	1
32751	6	17764	1
32751	5	18098	1
32751	4	17761	0
32751	3	17833	0
32751	2	17829	0
32751	1	17911	0
32751	0	17951	1
32750	9	17883	0
32750	8	10872	1
32750	7	2948	0
32750	6	17056	1
32750	5	12784	0
32750	4	15272	1
32750	3	9341	0
32750	2	9820	0
32750	1	11993	0
32750	0	5088	1
32749	4	18098	1
32749	3	17951	0
32749	2	17829	0
32749	1	17833	1
32749	0	17764	0
32748	6	9820	0
32748	5	10872	0
32748	4	17883	0
32748	3	12784	1
32748	2	9341	0
32748	1	15272	1
32748	0	11993	1
32746	5	15272	1
32746	4	17883	0
32746	3	17830	1
32746	2	9341	0
32746	1	12784	0
32746	0	12702	0
